Designator,MidX,MidY,Layer,Rotation
C1,87,14.1,Bottom,180
C2,89.4,17,Bottom,270
C3,93.9,24.4,Bottom,0
C4,87.1,35.5,Bottom,0
C5,84,35.5,Bottom,180
C6,89.5,47,Bottom,270
C7,84.5,47,Bottom,270
C8,92.5,63,Bottom,0
C9,92.5,67.5,Bottom,180
C10,92.5,69,Bottom,180
C11,89.5,85,Bottom,270
C12,84.5,85,Bottom,270
C13,80,90,Bottom,0
C14,55,94.5,Bottom,180
D1,54.5,15,Bottom,45
D2,35.5,15,Bottom,45
D3,16.5,19,Bottom,45
D4,75,22,Bottom,0
D5,54.5,34,Bottom,45
D6,35.5,34,Bottom,45
D7,16.5,34,Bottom,45
D8,87,53,Bottom,180
D9,73.5,53,Bottom,45
D10,54.5,53,Bottom,45
D11,35.5,53,Bottom,45
D12,16.5,53,Bottom,45
D13,73.5,72,Bottom,45
D14,54.5,72,Bottom,45
D15,35.5,72,Bottom,45
D16,16.5,72,Bottom,45
D17,87,91,Bottom,180
D18,73.5,91,Bottom,45
D19,54.5,91,Bottom,45
D20,35.5,91,Bottom,45
D21,16.5,91,Bottom,45
D22,75,15,Bottom,0
D23,80,92,Bottom,180
IC1,87,26,Bottom,180
R1,89.4,20.5,Bottom,90
R2,90.9,44,Bottom,270
R3,89.5,44,Bottom,90
R4,84.5,44,Bottom,270
R5,83.1,44,Bottom,270
R6,92.5,60,Bottom,0
R7,92.5,61.5,Bottom,0
R8,92.5,64.5,Bottom,180
R9,92.5,66,Bottom,0
R10,90.8,82,Bottom,270
R11,89.5,82,Bottom,90
R12,84.5,82,Bottom,270
R13,83.2,82,Bottom,270
R14,80,94.6,Bottom,180
R15,80,96,Bottom,180
R16,55,96,Bottom,0
X1,87,17,Bottom,270
